code_module,code_presentation,gender,region,num_of_prev_attempts,studied_credits,disability,date_registration,date_unregistration,sum_click,average_score,final_result
0,1,1,0,0,240,0,-159.0,0.0,934.0,82.0,1
0,1,0,6,0,60,0,-53.0,0.0,1435.0,66.4,1
0,1,0,5,0,60,1,-92.0,12.0,281.0,0.0,0
0,1,0,7,0,60,0,-52.0,0.0,2158.0,76.0,1
0,1,0,11,0,60,0,-176.0,0.0,1034.0,54.4,1
0,1,1,10,0,60,0,-110.0,0.0,2445.0,68.0,1
0,1,1,6,0,60,0,-67.0,0.0,1492.0,68.0,1
0,1,0,5,0,120,0,-29.0,0.0,1428.0,72.4,1
0,1,0,0,0,90,0,-33.0,0.0,1894.0,71.4,1
0,1,1,4,0,60,0,-179.0,0.0,3158.0,78.0,1
0,1,1,8,0,60,0,-103.0,0.0,1319.0,74.0,1
0,1,0,0,0,60,0,-47.0,0.0,1732.0,73.2,1
0,1,1,0,0,60,0,-59.0,0.0,1102.0,78.6,1
0,1,0,5,0,60,0,-68.0,0.0,3388.0,76.0,1
0,1,1,6,0,60,0,-67.0,0.0,2737.0,71.6,1
0,1,0,0,0,60,0,-180.0,96.0,176.0,67.0,0
0,1,0,11,0,60,0,-95.0,0.0,1053.0,55.6,1
0,1,1,2,0,60,0,-130.0,0.0,2327.0,80.4,1
0,1,1,9,0,60,0,-107.0,0.0,2992.0,66.0,1
0,1,1,1,0,60,0,-27.0,0.0,680.0,70.4,1
0,1,1,5,0,60,0,-31.0,0.0,1494.0,70.8,1
0,1,1,8,0,60,0,-170.0,72.0,1240.0,65.33333333333333,0
0,1,1,10,0,60,0,-107.0,0.0,2839.0,60.6,1
0,1,1,12,0,60,0,-62.0,0.0,744.0,68.4,1
0,1,1,8,0,60,0,-103.0,0.0,4104.0,72.6,1
0,1,1,5,0,60,0,-107.0,0.0,1944.0,78.0,1
0,1,1,3,0,60,0,-100.0,0.0,1150.0,76.6,1
0,1,1,2,0,60,0,-109.0,0.0,4777.0,79.6,1
0,1,1,8,0,60,0,5.0,175.0,465.0,60.0,0
0,1,1,1,0,60,0,-107.0,0.0,733.0,53.4,1
0,1,1,0,0,60,0,-110.0,0.0,998.0,63.4,1
0,1,0,0,0,60,0,-43.0,0.0,2343.0,81.0,1
0,1,1,12,0,60,0,-26.0,0.0,3553.0,77.6,1
0,1,0,4,0,60,0,-29.0,0.0,757.0,71.8,1
0,1,1,12,0,60,0,-68.0,0.0,1358.0,72.8,1
0,1,1,10,0,60,0,-68.0,0.0,1886.0,62.4,1
0,1,1,0,0,60,0,-32.0,0.0,1108.0,74.2,1
0,1,1,1,0,120,0,-99.0,0.0,284.0,61.8,1
0,1,1,8,0,60,0,-82.0,0.0,2041.0,71.4,1
0,1,0,1,0,180,0,-31.0,0.0,1321.0,69.6,1
0,1,1,11,0,60,0,-197.0,135.0,1888.0,81.0,0
0,1,0,0,0,120,0,-75.0,0.0,520.0,67.4,1
0,1,0,0,0,180,0,-29.0,30.0,73.0,0.0,0
0,1,0,7,0,60,1,-32.0,144.0,610.0,53.142857142857146,0
0,1,1,9,0,60,0,-195.0,0.0,5528.0,80.2,1
0,1,0,1,0,240,0,-61.0,0.0,1823.0,72.6,1
0,1,1,9,0,345,0,-110.0,129.0,756.0,48.833333333333336,0
0,1,0,4,0,60,0,-37.0,0.0,2121.0,73.6,1
0,1,0,8,0,60,0,-67.0,0.0,5645.0,68.8,1
0,1,1,9,0,120,0,-36.0,0.0,452.0,54.4,1
0,1,0,4,0,90,0,-138.0,58.0,155.0,52.0,0
0,1,0,5,0,60,1,-174.0,158.0,3812.0,79.5,0
0,1,0,3,0,150,0,-44.0,0.0,270.0,50.0,1
0,1,1,3,0,420,0,-16.0,0.0,1529.0,67.0,1
0,1,0,1,0,60,0,-54.0,0.0,4003.0,79.8,1
0,1,0,0,0,60,0,-64.0,191.0,2645.0,78.14285714285714,0
0,1,0,9,0,60,0,-52.0,0.0,1405.0,70.6,1
0,1,1,1,0,60,0,-46.0,123.0,2062.0,68.2,0
0,1,1,6,0,60,0,-64.0,0.0,466.0,71.8,1
0,1,0,12,0,60,0,-117.0,0.0,1510.0,69.4,1
0,1,0,11,0,60,0,-32.0,0.0,745.0,66.4,1
0,1,1,2,0,60,0,-50.0,0.0,1939.0,69.6,1
0,1,0,2,0,60,0,-45.0,0.0,1782.0,61.4,1
0,1,1,0,0,60,0,-162.0,0.0,6318.0,80.4,1
0,1,1,4,0,60,0,-195.0,0.0,4447.0,82.4,1
0,1,1,5,0,60,0,-92.0,0.0,2016.0,78.2,1
0,1,1,9,0,120,0,-64.0,0.0,2012.0,53.4,1
0,1,0,9,0,120,0,-39.0,60.0,487.0,76.0,0
